,Postcode,Commune,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_89,age90_94,age95_99,age100_and_over,Total
767,6261,Bredebro ,141,154,149,152,132,160,193,130,135,157,212,265,285,222,207,197,101,49,24,2,0,3067
768,6270,Tønder ,463,548,639,673,510,532,554,564,551,648,744,931,895,930,767,623,421,213,80,26,1,11313
769,6280,Højer ,69,95,102,115,88,79,110,93,96,118,134,196,219,191,164,143,75,56,23,6,1,2173
770,6300,Gråsten ,288,383,431,409,252,250,354,395,405,478,536,569,521,527,497,535,353,148,78,18,3,7430
771,6310,Broager ,238,273,307,295,131,202,247,245,254,280,340,370,314,312,283,269,153,80,37,13,1,4644
772,6320,Egernsund ,61,62,83,86,53,49,59,74,70,92,105,139,140,132,103,123,67,36,5,0,0,1539
773,6330,Padborg ,210,244,245,291,171,171,225,262,305,313,373,457,428,412,377,329,198,113,38,9,0,5171
774,6340,Kruså ,220,234,234,231,127,132,198,220,240,287,262,355,362,349,277,279,177,83,26,11,0,4304
775,6360,Tinglev ,191,224,238,288,161,197,224,232,255,288,278,339,317,319,285,241,145,83,25,12,1,4343
776,6372,Bylderup-Bov ,136,179,214,215,132,123,165,204,192,203,222,267,235,193,182,113,104,59,29,14,0,3181
777,6392,Bolderslev ,87,103,100,104,62,82,113,91,102,96,104,144,121,120,99,62,30,17,10,0,0,1647
778,6400,Sønderborg ,1692,1826,2012,2498,2261,2042,2094,1915,2002,2296,2623,2818,2292,2011,1919,1937,1393,707,258,63,6,36665
779,6430,Nordborg ,407,515,609,635,452,478,555,554,544,681,875,1014,948,832,702,726,538,366,111,21,3,11566
780,6440,Augustenborg ,222,273,321,359,239,278,318,274,288,360,424,526,458,422,372,368,279,150,66,13,2,6012
781,6470,Sydals ,302,368,414,398,189,197,257,344,366,431,455,487,446,452,436,416,264,145,58,16,0,6441
782,6500,Vojens ,629,648,797,867,561,665,735,776,830,921,1000,1074,989,896,784,749,500,260,99,24,1,13805
783,6510,Gram ,199,211,236,271,175,255,241,212,254,273,310,373,308,331,264,254,172,108,33,5,1,4486
784,6520,Toftlund ,219,274,266,322,205,178,246,256,256,280,300,347,361,359,332,304,186,105,36,11,0,4843
